Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Sector,Industry,About,Latest Price
ARSSINFRA,42.5,1.12,3.0,09-May-25,Equity,₹ 99.8 Cr.,69.8,%,-2.32 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects",54.73
ARUNAYA,34.8,4.98,1.0,09-May-25,SME,₹ 61.0 Cr.,15.0,44.1 %,32.5 %,Chemicals,Dyes And Pigments,"Incorporated in 2010, Arunaya Organics Limited is engaged in the manufacturing and exporting of specialty dyes and intermediates.[1]",42.8
BIRDYS,108.0,3.55,4.0,09-May-25,SME,₹ 56.2 Cr.,Book Value,-7.86 %,4.31 %,Quick Service Restaurant,Hotels,"Incorporated in 2019, Grill Splendour
Services Ltd provides restaurant and
café services[1]",111
COMSYN,96.26,2.32,4.0,09-May-25,Equity,₹ 396 Cr.,41.6,6.09 %,8.31 %,Packaging,Packaging,"Incorporated in 1984, Commercial Syn Bags
Ltd manufactuers and exports containers and packaging materials[1]",111.9
FAZE3Q,599.0,6.6,1.0,09-May-25,Equity,"₹ 1,459 Cr.",49.9,11.9 %,15.0 %,Textiles,Textiles - Processing,"Faze Three Limited, established in 1985, is primarily engaged in manufacturing and exports of end home textile products items like bathmats, rugs, blankets, throws, cushions, etc. The company has diversified its product mix across categories in the Home Textile segment and is also a direct exporter to top retail store chains in USA, UK and Europe.",646
GATDVR-RE,0.05,25.0,1.0,09-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.11
GATECH-RE1,0.05,25.0,1.0,09-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.11
KPRMILL,1286.0,8.17,1.0,09-May-25,Equity,"₹ 44,723 Cr.",68.5,18.1 %,22.0 %,Readymade Garments/ Apparells,Textiles - Products,"K.P.R. Mill is engaged in one of the largest vertically integrated apparel manufacturing Companies in India. The Company produces Yarn, Knitted Fabric, Readymade Garments and Wind power.",1212
KRISHANA,336.0,-0.64,1.0,09-May-25,Equity,"₹ 2,049 Cr.",23.7,25.3 %,21.7 %,Fertilizers,Fertilizers,"Incorporated in 2004, Krishana Phoschem Ltd is in the business of manufacturing of fertilizers & chemicals[1]",351.15
MAXIND-RE,24.0,27.32,2.0,09-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,None
REDINGTON,258.0,4.24,77.0,09-May-25,Equity,"₹ 20,294 Cr.",14.6,30.9 %,28.9 %,Trading,Trading,"Established in the year 1993, Redington Limited is a leading distributor of IT and mobility products and a provider of supply chain management solutions and support services in India, the Middle East, Turkey and Africa.",279.44
RMDRIP,500.0,6.42,9.0,09-May-25,SME,"₹ 1,249 Cr.",151,20.3 %,23.2 %,Plastic products,Plastics Products,"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems[1]",545
SWANDEF,147.38,4.99,1.0,09-May-25,Equity,₹ 776 Cr.,Book Value,-23.8 %,-3.53 %,Ship Building,Miscellaneous,"Incorporated in 1997, Reliance Naval and Engineering Ltd is engaged in the construction of vessels, repairs and refits of ships and rigs and heavy engineering",154.74
AJAXENGG,730.0,5.27,21.0,13-May-25,Equity,"₹ 8,302 Cr.",36.8,27.7 %,36.9 %,Capital Goods-Non Electrical Equipment,Engineering,"Incorporated in July 1992, Ajax Engineering Limited manufactures a wide range of concrete equipment and services across the value chain.[1]",697.5
APLAPOLLO,1727.2,0.84,1.0,13-May-25,Equity,"₹ 47,831 Cr.",143,11.2 %,15.3 %,Steel,Steel - Large,"APL Apollo Tubes Limited (APL Apollo) is one of India’s leading branded steel products manufacturers. Headquartered at Delhi NCR, the Company runs 10 manufacturing facilities churning out over 1,500 varieties of MS Black Pipes, Galvanised Tubes, Pre-Galvanised Tubes, Structural ERW Steel Tubes and Hollow Sections to serve industry applications like urban infrastructures, housing, irrigation, solar plants, greenhouses and engineering.",1809
ARSSINFRA,45.5,3.41,1.0,13-May-25,Equity,₹ 102 Cr.,71.5,%,-2.32 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects",54.73
ARUNAYA,38.3,4.93,1.0,13-May-25,SME,₹ 67.2 Cr.,16.5,44.1 %,32.5 %,Chemicals,Dyes And Pigments,"Incorporated in 2010, Arunaya Organics Limited is engaged in the manufacturing and exporting of specialty dyes and intermediates.[1]",42.8
ASTERDM,550.5,0.32,1.0,13-May-25,Equity,"₹ 27,511 Cr.",4.75,5.55 %,7.37 %,Healthcare,Healthcare,"Aster DM Healthcare Limited is one of the largest integrated private healthcare service providers operating in GCC (Gulf Cooperation Council) countries and an emerging player in India. With an inherent emphasis on clinical excellence, it is one of the few entities in the world with a strong presence across primary, secondary, tertiary and quaternary healthcare.",583.45
BASML-RE1,2.39,-34.88,,13-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,4
BIRDYS,119.0,4.94,1.0,13-May-25,SME,₹ 62.0 Cr.,Book Value,-7.86 %,4.31 %,Quick Service Restaurant,Hotels,"Incorporated in 2019, Grill Splendour
Services Ltd provides restaurant and
café services[1]",111
BSE,7305.0,5.02,1.0,13-May-25,Equity,"₹ 99,035 Cr.",83.9,35.8 %,47.5 %,Financial Services,Miscellaneous,"Bombay Stock Exchange (BSE Ltd) is an Indian Stock Exchange located at Dalal Street in Mumbai. The Co. facilitates a market for trading in equity, currencies, debt instruments, derivatives, and mutual funds.",7475
CAMLINFINE,177.38,2.53,54.0,13-May-25,Equity,"₹ 3,333 Cr.",Book Value,-7.23 %,0.37 %,Chemicals,Chemicals,Camlin Fine Sciences is engaged in the Business of Speciality Chemicals.,199.9
CHOICEIN,658.0,0.93,1.0,13-May-25,Equity,"₹ 13,178 Cr.","1,580",2.05 %,3.15 %,Finance,Finance & Investments,"Incorporated in 1993, Choice International Ltd provides services like Broking & Distribution, Investment Banking, Financial services, etc.[1]",689
COMMITTED,245.0,1.58,1.0,13-May-25,SME,₹ 265 Cr.,58.1,9.06 %,12.6 %,Logistics,Miscellaneous,"Incorporated in 1998, Committed Cargo
Care Ltd is in the business of Custom
House Broking & Freight Forwarding
Service",251.9
COMSYN,102.6,-1.58,1.0,13-May-25,Equity,₹ 416 Cr.,43.8,6.09 %,8.31 %,Packaging,Packaging,"Incorporated in 1984, Commercial Syn Bags
Ltd manufactuers and exports containers and packaging materials[1]",111.9
COROMANDEL,2400.0,-1.01,1.0,13-May-25,Equity,"₹ 70,798 Cr.",38.0,18.3 %,25.6 %,Fertilizers,Fertilizers,"Coromandel International Ltd is one of India's leading agri solutions provider. It offers a diverse range of products and services across the farming value chain. It specializes in fertilizers, crop protein, bio pesticide, specialty nutrients, organic fertilizers, etc.",2481.4
CUB,190.62,3.65,155.0,13-May-25,Equity,"₹ 14,109 Cr.",12.6,12.6 %,6.86 %,Banks,Banks - Private Sector,"City Union Bank Limited is a banking company. The Bank's segments include Treasury, Corporate and Wholesale Banking, Retail Banking and Other Banking Operations.(Source : Company Web-site )",189.3
DALBHARAT,2009.9,1.46,18.0,13-May-25,Equity,"₹ 37,687 Cr.",198,2.43 %,2.63 %,Cement,Cement - South India,Dalmia Bharat is engaged in the business of Manufacturing and Selling of Cement. The company was started in 1939 and is the 4th largest cement manufacturer by installed capacity in India.,2063.9
GABRIEL,625.0,1.56,1.0,13-May-25,Equity,"₹ 8,965 Cr.",42.6,19.6 %,26.7 %,Auto Ancillaries,Auto Ancillaries,"Gabriel India is part of ANAND Group. The Company has established a significant presence across all automotive customer segments, including OEMs, Aftermarket, and exports. Company manufactures over 500 models of ride control products. Its products include shock absorbers, struts, front forks and others.",633.5
GATDVR-RE,0.07,16.67,1.0,13-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.11
GATECH-RE1,0.07,16.67,1.0,13-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.11
GODFRYPHLP,9000.0,4.61,7.0,13-May-25,Equity,"₹ 46,880 Cr.",45.7,20.9 %,24.1 %,Tobacco Products,Cigarettes,"Godfrey Phillips India is one of the leading FMCG Companies in India - flagship company of KK Modi Group. They have many iconic cigarette brands like Four Square, Red & White, and Cavanders to its name. It also have an exclusive sourcing and supply agreement with Philip Morris International to manufacture and distribute the renowned brand in India.",8414
HPTL,133.5,1.91,1.0,13-May-25,SME,₹ 159 Cr.,18.5,34.7 %,18.6 %,Retail,Trading,"Founded in March 2011, HP Telecom India Limited is a distributor of mobile phones, accessories, and home appliances[1]",131
INDIAGLYCO,1641.0,6.23,1.0,13-May-25,Equity,"₹ 5,075 Cr.",30.2,9.00 %,11.1 %,Alcoholic Beverages,Breweries & Distilleries,"Established in 1988, India Glycols Ltd. is engaged in the manufacturing of green technology-based bulk, specialty & performance chemicals, and natural gums, spirits, industrial gases, sugar, and nutraceuticals.",1722.6
ISHANCH,41.2,2.23,42.0,13-May-25,Equity,₹ 87.6 Cr.,14.5,0.15 %,2.32 %,Chemicals,Dyes And Pigments,"Incorporated in 1993, Ishan Dyes
and Chemicals Ltd is in the business
of manufacturing Copper Phthalocyanine
Crude Blue (CPC Blue) and Pigment Blue",43.02
ITTL,55.2,1.94,1.0,13-May-25,SME,₹ 55.2 Cr.,Book Value,%,-26.6 %,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]",57.4
KRISHANA,363.95,4.21,1.0,13-May-25,Equity,"₹ 2,195 Cr.",25.4,25.3 %,21.7 %,Fertilizers,Fertilizers,"Incorporated in 2004, Krishana Phoschem Ltd is in the business of manufacturing of fertilizers & chemicals[1]",351.15
MASTER,390.0,4.63,278.0,13-May-25,SME,₹ 156 Cr.,38.1,15.6 %,21.7 %,Plastic products,Plastics Products,"Incorporated in 1999, Master Components Ltd is in the business of manufacturing of Plastic Engineering Components and sub assemblies[1]",396.95
MAXIND-RE,38.2,26.7,1.0,13-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,None
NAZARA,1190.0,2.08,1.0,13-May-25,Equity,"₹ 10,461 Cr.",Book Value,-8.39 %,-7.82 %,Telecomm-Service,Telecommunications - Service Provider,"Nazara Technologies is the leading India based diversified gaming and sports media platform with presence in India and across emerging and developed global markets such as Africa and North America, and offerings across the interactive gaming, eSports and gamified early learning ecosystems.",1264
PRIVISCL,2211.0,0.21,1.0,13-May-25,Equity,"₹ 8,678 Cr.",45.8,18.7 %,17.9 %,Chemicals,Chemicals,"Incorporated in 1985, Privi Speciality Chemicals Ltd (Formerly known as Privi Speciality Ltd.) is primarily engaged in the manufacturing, supply and exports of aroma and fragrance chemicals used in soaps, detergents, shampoos, and other fine fragrances.",2285
REDINGTON,272.6,4.47,1.0,13-May-25,Equity,"₹ 21,320 Cr.",15.3,30.9 %,28.9 %,Trading,Trading,"Established in the year 1993, Redington Limited is a leading distributor of IT and mobility products and a provider of supply chain management solutions and support services in India, the Middle East, Turkey and Africa.",279.44
RMDRIP,524.0,1.68,1.0,13-May-25,SME,"₹ 1,289 Cr.",155,20.3 %,23.2 %,Plastic products,Plastics Products,"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems[1]",545
SANATHAN,456.0,3.93,26.0,13-May-25,Equity,"₹ 3,852 Cr.",27.8,11.4 %,14.7 %,Textiles,Textiles - Cotton/Blended,"Incorporated in 2005, Sanathan Textiles
Ltd manufactures and exports polyester
yarn, cotton yarn and yarn for technical
textile",438
SGIL,517.65,2.63,7.0,13-May-25,Equity,₹ 801 Cr.,47.4,21.9 %,20.8 %,"Castings, Forgings & Fastners",Castings & Forgings,"Incorporated in 2010, Synergy Green Industries Ltd is into manufacturing of SG & CI Castings.[1]",466.75
SUVEN,171.5,12.04,237.0,13-May-25,Equity,"₹ 3,731 Cr.",Book Value,-5.72 %,-5.72 %,Healthcare,Miscellaneous,"Suven Life Sciences Ltd is a clinical-stage biopharmaceutical company focused on the acquisition, development and commercialisation of novel therapeutics for the treatment of neurodegenerative disorders.",208.17
TRANSTEEL,130.0,8.2,1.0,13-May-25,SME,₹ 260 Cr.,22.4,22.0 %,23.5 %,Consumer Durables,Miscellaneous,"Incorporated in February 1995, Transteel is a furniture company catering to corporate and B2B sectors.[1]",125.5
VELS,90.0,-0.88,1.0,13-May-25,SME,Failed,Failed,Failed,Failed,Failed,Failed,Failed,87
VENTIVE,794.0,1.95,53.0,13-May-25,Equity,"₹ 18,451 Cr.",134,5.70 %,10.1 %,Hotels & Restaurants,Hotels,"Incorporated in 2002, Ventive Hospitality
Ltd is an owner, developer and asset manager
of luxury & business hotels and resorts",779
VMM,129.78,6.62,6.0,13-May-25,Equity,"₹ 59,684 Cr.",126,8.03 %,10.8 %,Retail,Trading,"Incorporated In 2001, Vishal Mega Mart is a hypermarket chain that sells a wide range of products like apparel, groceries, electronics, and home essentials.[1]",125.5
ABINFRA,100.03,5.63,0.0,12-May-25,Equity,₹ 648 Cr.,Book Value,20.0 %,22.3 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2011, A B Infrabuild Ltd construction of roads, railways, branches and sidings, bridges, etc.[1]",111.9
APLAPOLLO,1711.0,3.34,0.0,12-May-25,Equity,"₹ 47,824 Cr.",143,11.2 %,15.3 %,Steel,Steel - Large,"APL Apollo Tubes Limited (APL Apollo) is one of India’s leading branded steel products manufacturers. Headquartered at Delhi NCR, the Company runs 10 manufacturing facilities churning out over 1,500 varieties of MS Black Pipes, Galvanised Tubes, Pre-Galvanised Tubes, Structural ERW Steel Tubes and Hollow Sections to serve industry applications like urban infrastructures, housing, irrigation, solar plants, greenhouses and engineering.",1809
APRAMEYA,132.75,1.57,0.0,12-May-25,SME,₹ 259 Cr.,16.1,36.8 %,31.1 %,Healthcare,Healthcare,"Incorporated in September 2003, Aprameya Engineering Limited specializes in installing and maintaining Intensive Care Units (ICU), Neonatal Intensive Care Units (NICU), Pediatric Intensive Care Units (PICU), Operation Theatres, and prefabricated structure wards in hospitals and medical care centers.",150
ARSSINFRA,44.0,1.5,0.0,12-May-25,Equity,₹ 102 Cr.,71.1,%,-2.32 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects",54.73
ARUNAYA,36.5,4.89,0.0,12-May-25,SME,₹ 67.2 Cr.,16.5,44.1 %,32.5 %,Chemicals,Dyes And Pigments,"Incorporated in 2010, Arunaya Organics Limited is engaged in the manufacturing and exporting of specialty dyes and intermediates.[1]",42.8
ASTERDM,547.5,3.4,0.0,12-May-25,Equity,"₹ 27,511 Cr.",4.75,5.55 %,7.37 %,Healthcare,Healthcare,"Aster DM Healthcare Limited is one of the largest integrated private healthcare service providers operating in GCC (Gulf Cooperation Council) countries and an emerging player in India. With an inherent emphasis on clinical excellence, it is one of the few entities in the world with a strong presence across primary, secondary, tertiary and quaternary healthcare.",583.45
BHARATSE,109.65,9.04,0.0,12-May-25,Equity,₹ 669 Cr.,20.5,18.1 %,15.7 %,Auto Ancillaries,Auto Ancillaries,"Incorporated in 1986, Bharat Seats Ltd manufactures complete seating system
and interior component for the automotive
and surface transport",111
BHARTIHEXA,1733.1,0.78,0.0,12-May-25,Equity,"₹ 85,422 Cr.",81.3,14.0 %,14.0 %,Telecomm-Service,Telecommunications - Service Provider,"IIncorporated in 1995, Bharti Hexacom Ltd provides consumer mobile services, fixed-
line telephone and broadband services in Rajasthan and Northeast telecom circles",1689.7
BIRDYS,113.4,5.0,0.0,12-May-25,SME,₹ 62.0 Cr.,Book Value,-7.86 %,4.31 %,Quick Service Restaurant,Hotels,"Incorporated in 2019, Grill Splendour
Services Ltd provides restaurant and
café services[1]",111
BSE,6965.0,5.98,0.0,12-May-25,Equity,"₹ 99,035 Cr.",83.9,35.8 %,47.5 %,Financial Services,Miscellaneous,"Bombay Stock Exchange (BSE Ltd) is an Indian Stock Exchange located at Dalal Street in Mumbai. The Co. facilitates a market for trading in equity, currencies, debt instruments, derivatives, and mutual funds.",7475
CEATLTD,3745.0,-0.55,0.0,12-May-25,Equity,"₹ 15,268 Cr.",30.3,12.2 %,15.8 %,Tyres,Tyres,"CEAT, established in 1958, is one of the largest tyre manufacturers and one of the fastest-growing tyre companies in India. CEAT became a part of the RPG Group in 1982. It is amongst the Top 25 best workplaces in Manufacturing by GPTW for 2022.",3854.9
CHOICEIN,650.0,4.91,0.0,12-May-25,Equity,"₹ 13,158 Cr.","1,578",2.05 %,3.15 %,Finance,Finance & Investments,"Incorporated in 1993, Choice International Ltd provides services like Broking & Distribution, Investment Banking, Financial services, etc.[1]",689
COMMITTED,241.5,2.01,0.0,12-May-25,SME,₹ 265 Cr.,58.1,9.06 %,12.6 %,Logistics,Miscellaneous,"Incorporated in 1998, Committed Cargo
Care Ltd is in the business of Custom
House Broking & Freight Forwarding
Service",251.9
COMSYN,102.6,1.84,0.0,12-May-25,Equity,₹ 416 Cr.,43.8,6.09 %,8.31 %,Packaging,Packaging,"Incorporated in 1984, Commercial Syn Bags
Ltd manufactuers and exports containers and packaging materials[1]",111.9
COROMANDEL,2407.5,2.75,0.0,12-May-25,Equity,"₹ 71,720 Cr.",38.4,18.3 %,25.6 %,Fertilizers,Fertilizers,"Coromandel International Ltd is one of India's leading agri solutions provider. It offers a diverse range of products and services across the farming value chain. It specializes in fertilizers, crop protein, bio pesticide, specialty nutrients, organic fertilizers, etc.",2481.4
FAZE3Q,625.0,4.37,0.0,12-May-25,Equity,"₹ 1,523 Cr.",52.1,11.9 %,15.0 %,Textiles,Textiles - Processing,"Faze Three Limited, established in 1985, is primarily engaged in manufacturing and exports of end home textile products items like bathmats, rugs, blankets, throws, cushions, etc. The company has diversified its product mix across categories in the Home Textile segment and is also a direct exporter to top retail store chains in USA, UK and Europe.",646
FORCEMOT,10743.0,10.61,0.0,12-May-25,Equity,"₹ 13,892 Cr.",25.4,20.1 %,29.1 %,Automobile,Automobiles - LCVs / HCVs,"Force Motors Ltd was established in 1958, is the flagship company of the Abhay Firodia group. The company is in the business of manufacturing fully vertically integrated small and light CVs, multi-utility vehicles, and agricultural tractors, which it supplies to various countries in the Middle East, Asia, Latin America, and Africa. It was known as Bajaj Tempo till 2005",10639
GABRIEL,617.85,8.26,0.0,12-May-25,Equity,"₹ 8,970 Cr.",42.6,19.6 %,26.7 %,Auto Ancillaries,Auto Ancillaries,"Gabriel India is part of ANAND Group. The Company has established a significant presence across all automotive customer segments, including OEMs, Aftermarket, and exports. Company manufactures over 500 models of ride control products. Its products include shock absorbers, struts, front forks and others.",633.5
GATDVR-RE,0.06,20.0,0.0,12-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.11
GATECH-RE1,0.06,20.0,0.0,12-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.11
HPTL,131.0,6.55,0.0,12-May-25,SME,₹ 159 Cr.,18.5,34.7 %,18.6 %,Retail,Trading,"Founded in March 2011, HP Telecom India Limited is a distributor of mobile phones, accessories, and home appliances[1]",131
ICICIBANK,1451.5,4.51,0.0,12-May-25,Equity,"₹ 10,19,042 Cr.",21.6,17.9 %,7.62 %,Banks,Banks - Private Sector,"ICICI Bank is the second-largest private sector bank in India offering a diversified portfolio of financial products and services to retail, SME and corporate customers. The Bank has an extensive network of branches, ATMs and other touch-points.The ICICI group has presence in businesses like life and general insurance, housing finance, primary dealership, etc, through its subsidiaries and associates.",1447
INDIAGLYCO,1555.0,11.27,0.0,12-May-25,Equity,"₹ 5,078 Cr.",30.3,9.00 %,11.1 %,Alcoholic Beverages,Breweries & Distilleries,"Established in 1988, India Glycols Ltd. is engaged in the manufacturing of green technology-based bulk, specialty & performance chemicals, and natural gums, spirits, industrial gases, sugar, and nutraceuticals.",1722.6
INDIASHLTR,912.0,7.29,0.0,12-May-25,Equity,"₹ 9,700 Cr.",25.7,15.1 %,12.6 %,Finance,Finance - Housing,"Incorporated in 1998, India Shelter Finance Corporation Limited is engaged in the business of housing finance. [1]",888.8
INM,487.8,3.84,0.0,12-May-25,SME,₹ 318 Cr.,30.8,24.6 %,31.1 %,Consumer Durables,Miscellaneous,"Incorporated in June 2012, Interiors & More Limited trades, imports, and sells artificial flowers. The company manufactures and trades quality artificial flowers, plants, and decor items for homes and offices.",442
ITTL,54.15,1.98,0.0,12-May-25,SME,₹ 55.2 Cr.,Book Value,%,-26.6 %,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]",57.4
KRISHANA,349.8,3.38,0.0,12-May-25,Equity,"₹ 2,195 Cr.",25.4,25.3 %,21.7 %,Fertilizers,Fertilizers,"Incorporated in 2004, Krishana Phoschem Ltd is in the business of manufacturing of fertilizers & chemicals[1]",351.15
MANORAMA,1433.9,10.52,0.0,12-May-25,Equity,"₹ 8,272 Cr.",73.8,28.0 %,23.0 %,FMCG,Food - Processing - Indian,Manorama Industries is engaged in manufacturing specialty fats and butter made from exotic seeds and nuts. [1],1429
MAXIND-RE,30.15,39.97,0.0,12-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,None
